video ID,View Count,Like Count,Dislike Count
-CGObCfPYHg,74284,2884,41
07uIleJYl40,1596146,38166,519
0Hdt2cytqVQ,1126181,53015,761
0togjYHX4YU,655,40,1
16W7c0mb-rE,2855273,147152,1430
1KsP2MPJwlw,2610,27,4
1hCpOkO_h1o,419,6,0
2-S8WRSt_gQ,67887,606,118
29MN05GWgAo,1681434,60324,744
2JEvQrl_w7Y,1375762,59773,1159
2TnLa7PvTCo,8116,220,3
2zVtySq7nLg,595,6,0
38gVZgE39K8,564721,22043,536
3BXDsVD6O10,117119945,1567676,45790
3MpSfr_hgJo,354,45,4
3NFfWE81rT4,157241,4893,38
3Xg4Nd3xg3o,1132962,47138,718
3d9i_0Ty7Cg,1907026,84128,1598
4AgOtb2mKgQ,2162753,36499,349
4ClLMrfYmmw,1273176,52302,1574
4c6y0rCz630,252,3,0
4pvJLVKqrR8,3319380,227929,3607
56KYMMGudcU,19290599,448556,50588
58chD_CEeWg,1357947,54037,1010
5NhijmGTwwo,7732093,164271,2505
5PxlZFi4F2M,5491505,293295,11060
6gFLyNa2ZnE,3869,34,5
6miEKCIktzM,3406491,219364,6977
738yi_B-vaA,1227602,58913,612
7IfFxocc3kY,655910,61612,739
7PXA8DQrN-I,11919,502,134
7gg--KdMCw4,302976,13151,365
7kEH-ReFDw4,340872,14119,190
7t3Re2VIbHE,51155492,852011,20129
817P8W8-mGE,163497653,1627656,67121
87gWaABqGYs,342039351,2602269,77912
89oW25xLF6g,428,3,1
8HslUzw35mc,2576255,133352,2119
8eGYqmYE41g,9048,137,57
8qGCAE1jte8,790527,30073,379
9Anyi4Re6s0,425,1,0
9X8CU47FEyA,489379,30330,235
9e3WjdSx0pc,2219936,45499,1579
9joh4FwAgMY,1052234,44954,376
9nSyO-k8Uc8,499115,5514,142
9yxKHz_KlEY,1333,90,13
A0Bs8-B-pmI,787331,34432,377
AGL8MOv-5Wo,1988257,57759,1004
AORsw8NpN4E,3097926,111864,2034
BPVym-gKF0s,149456,2869,119
BU8TS4A4DI0,2903058,61224,1404
BV6gQet5r5A,3412841,158440,8010
BfKN4YjfKZA,3261388,193974,10644
BvSLZWJLkos,7333,393,9
C25qzDhGLx8,3526599,125209,10452
C7xDzYnst34,1512370,64970,1434
CQI9U7Q3-08,6044,193,10
CdalaDaC6ZA,2867,41,2
CeNRHU-_egY,1468586,62198,1126
CmJoUPwxu0o,376,1,1
DL_mJeb6O04,1144012,28293,952
Da-2h2B4faU,3465157,184612,2068
E3PuYzTFDTg,904804,56217,754
EAGhzuitLXU,11278528,223778,4770
EAyk2OsKvtU,877287,50575,397
EWf7P3okX9s,1361472,125191,825
F0HevqEymoM,3357139,168358,6113
F0W6p1vN58Y,1127747,30257,652
FOlQjUlMgOc,49262,702,103
Fbwqrr6gtqo,169170,5561,100
FlJLY0c0rts,5148371,234043,2063
FwjFIJ6lD9U,4513504,87818,3969
G10m2ZZRH4U,2172767,78820,2169
GCxFfTI81Ks,1391429,31958,366
GoJsr4IwCm4,3728854,148412,2744
HPiQhNFkEEI,951136,61598,473
HPy6oJ63kKU,2891882,335346,13131
Hnq_a_g3nJY,2459290,23214,738
I-CXw0P4FkE,112659,4463,134
I5M0rmE0JPA,317,4,1
IJvjj6Fiwvw,2414358,120919,5009
Ifpq10K6zhs,4701687,254505,9421
IlkBLwl4aBM,18723130,894250,7014
ImePXu7HaWI,4884554,46088,1841
ItAvmV97Ojs,645379,63560,230
JQnvlFstyDQ,98949,13421,24
JU0QLihFNtc,2508,89,29
Jm6Rr2T758Y,2512,112,9
JxCPiZZyxZU,8853775,167294,2767
K7pQsR8WFSo,818626,35455,333
KNofRbE907M,2826532,45980,1005
L2NRX1BAC_A,1493511,41842,337
L4N4Xzbmf9w,4278986,146059,1848
LKo-SVd25oM,392881,13854,80
LO1mTELoj6o,3417267,161515,3370
LZ5S95GUtiI,983772,45118,1197
LfIAXqZvE60,895833,21878,1136
MA6dW54Vvmo,1133021,34352,277
MUWUHf-rzks,2578501,123883,1595
MbSPOblJ8RY,108526,3491,80
MjdpR-TY6QU,3140176,142498,1297
MuzDPWhkRMs,1350,123,4
MvWTYhAr51I,790491,37931,416
MybjFHx_wfc,1472746,34483,2714
N2w6uwTnZPk,5192,43,15
N7Kem6lc5VQ,3703207,134346,1426
NEyNpFY5lpg,526296,24158,342
NJ3Erw2Xplg,593272,28573,185
NkjW8ppPSnM,1035519,17141,231
NyRJBEjHkL0,6923,383,10
OXBFCdQhIQA,5186133,450399,10733
OfkmE1LcBy4,52061,834,149
Og7iGR4t6yw,578233,84101,273
Oo0jm1PPRuo,1300346,47681,719
Ou413HaAJj4,342706,37028,94
Poacb8t5aNg,7633578,91668,2234
QC-cMv0e3Dc,1443427,45068,1050
QMNGEY8OZqo,625506,8433,1565
QSwLfrNsuLI,8462,117,68
QoNIR8bGSEg,8384232,63710,2630
R9OHn5ZF4Uo,2327372,217320,1513
S1fG1WjTAQw,4988951,213250,5147
SHq2qrFUlGY,489656272,2000091,186735
S_xz1qtR7Lw,811,5,3
Sb_60g3u1LU,1634417,63209,1214
TvHtn-BP5YY,159896,5929,70
UMVEFMn8_Do,872008,33067,242
UjtOGPJ0URM,4809304,194819,8025
Uo6fYl741Lk,955327,22668,366
VFsqw2bdnBo,5220732,68479,1057
VNr5FyZp9rI,4648660,79277,6669
VO-mLV_2lgE,1862914,75440,2936
XAgXwUwQoPA,287247,18614,809
X_tYrnv_o6A,652407,37723,284
XjHr-6Zl5P8,114149541,846140,28925
XscDI42TQQg,982125,55195,501
YKtHWcZk5OU,220156,5083,129
Ye1VclxMWZU,4297,325,6
ZHMDLOOP69I,21895767,234184,16071
Ze_gpWC5WoA,6595,546,22
ZefnROl7XEw,4993944,212809,14179
Zv4GJDHsWl4,2096584,120258,1024
_RAUYoqdFrw,2214417,26108,743
_nVQgqlo0Ow,3781215,221763,6848
aHRTtA7yTZ0,448575,6299,971
alj9884RvnE,71772,3987,32
b03U6BYF9L0,1183871,63719,3161
b2wPbdhnYSI,1462456,131416,1443
bXKHJFHNKRw,3209623,50046,654
bdUvPnPyAWE,4712561,179761,1809
bfB4k_6qEVU,3360,358,16
bsLSYZ6Z8wM,1763011,68686,723
c-gCeUYzp6s,4315980,156906,2321
c1E--CfOh78,1286016,58931,767
cBclo6E0qWY,364470,10126,180
cgI9usFKx_w,4500949,194326,8822
ctRc54oCozc,2619886,99833,1008
dXlPPCBQfCM,830797,40942,202
